lat,lng,value
40.1037392919,116.432160776,5
39.9258462852,116.563646652,1
40.0873111746,116.276326189,3
39.7014031128,116.356652443,1
40.1089561632,116.692875434,1
39.9687479317,116.688803632,1
39.9584696631,116.73341262,1
40.0757595075,116.567457865,1
39.6522860349,116.640999709,1
40.0802069348,116.589887371,543
40.0109438205,116.346764931,16
39.8677448546,116.292646129,49
39.8959090785,116.355841406,33
39.8320272018,116.430038978,2
40.0873173647,116.31334664,7
39.9601155899,116.564648677,16
39.9721387825,116.302919084,85
39.7632357856,116.498706232,15
40.0327679453,116.441359467,26
39.8672822923,116.682441056,14
39.8452457941,116.387874881,35
39.7369014509,116.335170515,16
39.8899959678,116.520923027,7
40.0369570644,116.312857524,23
40.0667875386,116.335029575,18
39.8350978148,116.432290982,5
40.0059977282,116.487782575,19
39.9398537642,116.541834278,3
39.726943299,115.959846316,1
39.8640666603,116.235392377,5
40.2221195676,116.176628636,1
40.0067971891,116.323235641,5
39.8837824764,116.561438789,1
40.4662338493,115.985235919,1
40.3674597476,116.819756185,2
39.9290490218,116.543495102,2
39.9382380308,116.839775379,1
39.8310773588,116.388806052,2
39.7532212015,116.365348949,2
39.9639217501,116.715716224,1
40.009194262,116.37873406,42
39.7533817806,116.488025731,23
39.8948585653,116.500658293,86
40.1269300844,116.652073298,38
40.0705517577,116.43459628,37
39.9114382055,116.553290888,39
40.0399321832,116.261968587,1
39.8896449453,116.256869913,42
39.9173192941,116.338092915,29
40.0481170781,116.596923274,12
40.1403934968,116.761168976,1
40.0441293652,116.56424912,6
39.8358867664,116.342081364,11
40.0269755036,116.627459286,22
39.9287528629,116.288702874,21
40.1158867581,116.257704334,6
39.8894240994,116.566054959,2
40.0478254496,116.183342129,7
39.8028868597,116.369057233,3
39.9333726884,116.688288783,14
40.0683289857,116.40333593,2
40.2341138211,116.33115114,1
40.1731091103,116.232331734,1
40.0932381534,116.311700109,3
40.3797167332,116.862492266,1
40.2345177984,116.128093785,1
40.2422868333,116.207710211,2
39.6210050625,116.325686787,1
40.1065342672,116.117642368,1
39.7893164063,116.532072754,1
39.9393244086,116.199909668,2
39.7587811425,116.381506462,1
39.9002081548,116.26954147,34
39.9940449145,116.379712298,30
40.0314002918,116.334929417,146
39.9612086273,116.281347487,84
39.8786603432,116.324506871,71
39.8173477084,116.31122466,6
39.8627458824,116.442555715,12
39.840558335,116.380685946,42
39.8022486091,116.379970048,4
39.8292684148,116.503135961,11
